MDEC-23,SpMin1_Bhs,GATS8s,CrippenMR,SpMax5_Bhv,Class
60.1757,2.3109,1.0575,0.0,3.5545,1
44.5031,2.1117,1.7013,172.2,3.6066,1
37.5488,2.0198,0.7828,173.4028,3.6441,1
40.5929,2.0191,1.0298,177.2726,3.6564,1
52.7343,2.1664,0.7427,171.1315,3.5216,1
52.3812,2.0166,0.884,165.3539,3.6654,1
56.0611,2.0638,1.0788,170.362,3.432,1
40.6558,2.1299,0.6483,146.861,3.5081,1
31.9506,2.1792,1.7228,122.4998,3.3155,1
35.6989,2.0303,1.1755,135.4757,3.3043,1
32.2745,1.8866,0.9378,136.091,3.2767,1
40.393,2.0997,1.0954,153.72,3.5709,1
35.8397,2.0809,0.9802,138.144,3.5487,1
32.6743,1.9682,0.7651,134.8915,3.3041,1
52.0187,2.0597,0.6571,148.224,3.5641,1
44.7998,1.9955,1.625,158.9844,3.5641,1
49.4774,1.9893,1.3143,164.8552,3.5706,1
23.4488,2.3475,1.6037,145.6294,3.2935,1
44.591,1.9607,0.7348,170.728,3.5836,1
65.0939,2.2187,1.9261,180.2179,3.6586,1
51.1057,2.0297,1.2492,180.5565,3.567,1
36.9243,1.9602,1.4821,149.8797,3.4497,1
47.536,2.2248,0.7231,134.6085,3.3664,1
39.6797,2.0974,0.4965,138.1843,3.357,1
34.789,2.0331,0.5023,149.22,3.4083,1
35.8792,2.1348,0.8243,163.4162,3.3929,1
30.2222,1.9431,1.0021,152.7576,3.5864,1
47.975,2.2673,0.8797,143.9222,3.4398,1
51.4783,2.1717,0.684,162.6035,3.513,1
39.853,2.0073,0.6782,150.8584,3.5489,1
36.4379,2.007,1.2112,121.315,3.2087,1
39.6365,2.0935,0.8252,177.693,3.5293,1
54.58,2.1717,0.8124,166.967,3.5176,1
46.3298,2.0446,1.5228,173.3785,3.566,1
60.0166,2.0084,1.3158,164.1497,3.5378,1
36.6323,2.0366,1.0523,137.8637,3.3646,1
40.1784,1.9804,1.6968,159.349,3.4964,1
52.249,1.9488,1.3532,169.4775,3.6663,1
30.0382,2.0944,1.2206,142.8927,3.3205,1
34.5325,2.0561,1.1623,123.845,3.2315,1
51.3093,2.0164,0.9345,165.3539,3.6653,1
41.1121,2.0048,1.1147,163.7244,3.5163,1
40.4145,2.2194,1.1848,144.4535,3.3818,1
43.2379,2.0629,0.9128,140.4875,3.3215,1
48.0809,2.0359,1.5793,141.9105,3.3562,1
43.3655,1.9958,0.7393,173.075,3.6707,1
38.5752,2.0084,0.6906,162.435,3.5379,1
31.647,1.9752,0.6769,140.502,3.3428,1
65.256,2.143,1.2861,173.5768,3.6914,1
57.6723,2.1689,1.6353,174.476,3.6586,1
42.4795,2.0701,1.0006,141.6895,3.4307,1
30.0905,2.07,1.0157,138.85,3.4941,1
39.5589,1.9489,0.7965,148.922,3.3622,1
44.5792,2.0413,1.3653,162.163,3.5305,1
30.4957,1.9997,1.5595,135.6957,3.4276,1
43.1223,2.049,1.0998,155.971,3.5331,1
36.9645,2.1074,0.7583,163.24,3.6966,1
41.3221,2.0391,0.7662,177.5147,3.5364,1
42.0664,1.9529,0.838,154.9175,3.5731,1
30.9405,1.9937,0.8586,129.419,3.2798,1
45.2616,2.0358,1.4471,151.7935,3.3643,1
42.7042,2.0574,1.0846,160.865,3.527,1
53.6621,2.1912,1.3469,156.4422,3.5365,1
38.8355,1.9401,0.5082,163.6595,3.514,1
43.1223,2.0451,1.2778,161.008,3.53,1
29.7847,2.0773,1.9239,144.502,3.4754,1
43.0391,2.0512,2.2343,163.983,3.5336,1
35.7706,2.0581,1.1219,153.3029,3.3405,1
52.6379,2.0722,1.0089,139.0405,3.3336,1
36.3919,2.044,0.6285,151.053,3.5024,1
45.9384,2.0168,0.4825,157.3844,3.6586,1
46.1793,2.0823,0.9071,173.091,3.7616,1
52.9091,2.1691,0.8155,170.1075,3.5164,1
30.0905,2.0697,0.9599,138.85,3.4984,1
46.1239,1.9852,0.7133,173.644,3.6978,1
44.0116,1.99,0.5625,160.818,3.6501,1
40.3758,2.0884,0.5014,147.3087,3.5481,1
41.9214,1.9575,1.5327,153.4238,3.4652,1
28.7875,2.0258,1.4491,138.7324,3.3149,1
28.782,1.9791,0.8688,133.2871,3.4695,1
42.5724,2.0509,0.543,167.8225,3.5267,1
49.1622,2.0399,1.5488,177.9955,3.5713,1
32.8945,2.0812,0.7575,146.964,3.3933,1
39.8284,1.9183,0.8469,145.2085,3.3242,1
26.0063,1.9799,1.7914,120.352,3.2369,1
40.3072,2.0678,1.2909,167.5747,3.4308,0
41.2676,1.9983,1.201,161.3547,3.3912,0
42.4377,2.1599,2.541,151.6457,3.336,0
34.563,2.1071,0.9985,137.4745,3.2042,0
40.833,1.9751,0.7356,168.964,3.6499,0
35.4194,2.0321,1.1971,140.3597,3.304,0
34.9148,1.953,1.0391,135.6725,3.529,0
44.1374,2.0215,1.1343,146.4845,3.396,0
56.1006,2.1877,0.7872,0.0,3.4128,0
40.9457,2.088,1.9702,157.1667,3.3636,0
44.0116,1.9759,0.6988,155.589,3.6452,0
48.4779,2.0361,1.373,170.4985,3.5545,0
37.5298,1.9755,1.5364,137.607,3.5371,0
54.8677,2.0565,1.4489,170.362,3.4643,0
47.9243,2.0342,1.2671,175.9395,3.5621,0
46.8619,2.0521,1.8204,148.5679,3.3408,0
52.8794,2.069,1.507,167.137,3.5255,0
48.9986,2.1678,0.7226,160.4237,3.4567,0
40.1328,2.0873,1.6684,139.659,3.3884,0
46.6635,2.1262,1.0799,152.063,3.4117,0
39.6079,2.0294,0.963,132.2645,3.1149,0
42.695,1.9812,0.7008,142.3292,3.3505,0
39.0073,1.9251,0.9914,161.2119,3.5639,0
46.4822,2.0436,0.8511,155.8237,3.3383,0
31.0455,1.9939,1.1837,138.8037,3.4131,0
48.9891,1.9875,1.4509,159.3902,3.5685,0
38.6603,2.1126,0.971,164.4665,3.5347,0
34.6939,2.0577,1.3664,130.5887,3.3372,0
42.2191,2.0799,0.9414,157.5898,3.5935,0
44.2499,1.9935,0.9843,164.5,3.661,0
44.0546,2.0614,1.3193,158.606,3.5326,0
36.4437,2.0896,1.4814,154.6385,3.4575,0
34.8701,2.1304,0.74,147.0043,3.5743,0
42.7042,2.0503,1.4917,161.05,3.5285,0
45.6774,2.0377,1.5317,169.091,3.5344,0
41.1182,2.0742,1.488,147.7859,3.6042,0
39.1519,2.067,1.2522,127.1097,3.3109,0
41.2295,2.0204,1.4328,143.9512,3.4729,0
35.223,2.0763,0.9685,133.2928,3.1945,0
51.6137,2.1717,0.8432,162.6035,3.5106,0
50.1421,2.1769,0.8887,156.254,3.5034,0
40.8166,2.0468,0.7555,168.134,3.5494,0
33.3718,2.0075,0.5023,153.2157,3.3634,0
48.9891,2.0007,1.4716,159.4092,3.5743,0
38.8164,2.0922,1.5115,167.5635,3.5582,0
48.9891,1.9875,1.1539,154.1802,3.5685,0
38.5495,2.0562,1.1419,153.1375,3.4831,0
25.2882,2.0895,2.1997,129.5627,3.3314,0
37.5447,2.114,0.9048,160.1315,3.6184,0
38.87,2.0505,0.9628,153.2525,3.4601,0
46.2385,2.0775,1.0724,166.4072,3.5008,0
41.6328,2.0723,0.8907,146.2045,3.5844,0
37.0979,1.9569,1.0681,146.7977,3.4488,0
50.9941,2.0122,0.62,165.3539,3.6665,0
23.6094,1.8709,1.0197,111.9477,3.1386,1
7.8612,1.9099,0.2319,67.9057,2.8051,1
25.1747,2.0453,1.1326,129.3109,3.2717,1
31.9875,1.9178,0.7993,145.2756,3.3033,1
14.9505,2.0641,4.223,68.656,2.5173,1
14.9505,2.0641,2.0807,69.4004,2.5189,1
22.5401,1.8982,0.9087,150.5027,3.3715,1
32.9063,2.0862,0.8331,129.8947,3.2245,1
24.5944,1.9746,0.8197,131.2339,3.252,1
32.6125,2.0451,1.0596,134.1382,3.4105,1
30.8363,2.0775,0.6407,123.0387,3.3714,1
24.1006,1.8874,1.1092,129.8004,3.3216,1
25.2822,2.0294,1.0306,124.6238,3.1108,1
34.2818,1.933,1.2138,144.6195,3.3902,1
34.2818,1.9336,1.2018,151.4827,3.4016,1
33.4578,1.9504,1.0074,143.1042,3.4198,1
33.863,1.9187,1.1027,155.3347,3.389,1
27.3803,1.9457,1.699,140.1315,3.4266,1
18.6832,2.0324,0.5014,122.0813,3.2735,1
31.9002,2.0172,0.994,118.0314,3.1744,1
24.2566,2.0187,0.96,130.4974,3.3264,1
31.283,1.9021,1.2004,129.6942,3.2839,1
37.4368,2.0423,0.8127,143.1954,3.3345,1
11.8619,1.9812,3.7373,68.636,2.9097,1
31.588,1.9691,1.4751,142.6533,3.2787,1
32.9174,1.927,1.2063,130.8423,3.2152,1
31.588,1.9687,1.3618,137.6013,3.2787,1
13.6305,2.0708,0.7954,71.9807,2.8103,1
33.1806,2.0701,0.985,125.0777,3.256,1
28.357,1.9242,0.9103,133.7697,3.2822,1
26.4286,1.9162,1.2687,144.0674,3.2904,0
9.8829,2.0006,0.272,53.691,2.5034,0
